opportunity_id,account_id,rep_id,region,stage,amount,created_date,close_date,forecast_category
OPP-00001,Acct-0057,R004,West,Qualification,38522.7,2026-01-03,2026-06-11,Best Case
OPP-00002,Acct-0056,R008,Central,Negotiation,128569.25,2024-12-14,2025-03-15,Pipeline
OPP-00003,Acct-0012,R006,Central,Prospecting,20146.59,2024-12-18,2025-06-10,Best Case
OPP-00004,Acct-0148,R012,East,Proposal,10720.73,2025-10-05,2026-04-01,Best Case
OPP-00005,Acct-0026,R004,West,Closed Won,10848.51,2024-10-23,2024-12-02,Commit
OPP-00006,Acct-0172,R007,Central,Qualification,37414.88,2025-01-14,2025-05-04,Pipeline
OPP-00007,Acct-0063,R005,Central,Closed Won,36504.25,2025-10-12,2025-12-14,Commit
OPP-00008,Acct-0009,R003,West,Proposal,39037.36,2024-11-28,2025-01-01,Pipeline
OPP-00009,Acct-0165,R006,Central,Proposal,38859.39,2024-08-05,2024-12-30,Best Case
OPP-00010,Acct-0093,R008,Central,Qualification,34128.17,2025-03-14,2025-08-30,Best Case
OPP-00011,Acct-0040,R004,West,Closed Lost,8932.79,2026-02-12,2026-03-16,Omitted
OPP-00012,Acct-0120,R011,East,Qualification,53661.32,2025-01-29,2025-05-26,Commit
OPP-00013,Acct-0138,R009,East,Qualification,112138.66,2025-11-27,2026-01-15,Commit
OPP-00014,Acct-0068,R005,Central,Closed Won,18972.04,2024-06-10,2024-10-24,Commit
OPP-00015,Acct-0130,R009,East,Closed Won,27262.64,2025-10-02,2026-01-06,Commit
OPP-00016,Acct-0154,R010,East,Qualification,21328.88,2026-03-08,2026-08-10,Pipeline
OPP-00017,Acct-0062,R006,Central,Negotiation,10501.41,2024-11-10,2025-01-30,Pipeline
OPP-00018,Acct-0033,R010,East,Closed Lost,7749.56,2024-03-11,2024-08-14,Omitted
OPP-00019,Acct-0139,R011,East,Proposal,29870.53,2025-09-13,2026-01-19,Pipeline
OPP-00020,Acct-0133,R012,East,Closed Won,46493.19,2025-11-18,2026-03-13,Commit
OPP-00021,Acct-0151,R008,Central,Prospecting,14155.12,2025-08-25,2026-02-02,Pipeline
OPP-00022,Acct-0019,R004,West,Prospecting,37834.47,2024-03-10,2024-04-07,Best Case
OPP-00023,Acct-0122,R009,East,Qualification,37497.54,2024-05-15,2024-10-28,Commit
OPP-00024,Acct-0109,R004,West,Closed Won,48360.07,2024-04-09,2024-08-17,Commit
OPP-00025,Acct-0104,R007,Central,Proposal,79444.98,2025-10-23,2025-12-07,Pipeline
OPP-00026,Acct-0036,R012,East,Proposal,56569.18,2024-07-13,2024-12-17,Best Case
OPP-00027,Acct-0026,R007,Central,Qualification,16988.3,2024-03-18,2024-07-29,Commit
OPP-00028,Acct-0105,R001,West,Closed Won,28669.97,2024-04-05,2024-06-24,Commit
OPP-00029,Acct-0109,R008,Central,Negotiation,2690.77,2026-03-14,2026-07-28,Best Case
OPP-00030,Acct-0149,R012,East,Closed Lost,40093.81,2024-10-30,2025-01-13,Omitted
OPP-00031,Acct-0136,R012,East,Negotiation,40379.68,2025-08-21,2026-01-10,Commit
OPP-00032,Acct-0173,R003,West,Prospecting,29182.01,2024-03-11,2024-08-30,Pipeline
OPP-00033,Acct-0159,R004,West,Proposal,131191.91,2025-08-15,2026-02-03,Pipeline
OPP-00034,Acct-0081,R002,West,Proposal,35267.28,2024-09-24,2024-12-05,Commit
OPP-00035,Acct-0003,R004,West,Qualification,5390.2,2025-04-13,2025-07-22,Pipeline
OPP-00036,Acct-0068,R008,Central,Closed Won,29973.38,2025-07-04,2025-09-16,Commit
OPP-00037,Acct-0168,R003,West,Closed Lost,21180.24,2025-07-10,2025-10-15,Omitted
OPP-00038,Acct-0068,R009,East,Prospecting,54111.91,2025-11-10,2025-12-26,Pipeline
OPP-00039,Acct-0088,R002,West,Closed Lost,41905.66,2024-10-15,2025-04-07,Omitted
OPP-00040,Acct-0163,R004,West,Closed Won,80958.78,2024-09-14,2024-10-17,Commit
OPP-00041,Acct-0114,R007,Central,Closed Won,9355.96,2024-05-13,2024-08-08,Commit
OPP-00042,Acct-0010,R009,East,Closed Won,29908.09,2025-12-08,2026-02-04,Commit
OPP-00043,Acct-0092,R006,Central,Negotiation,14433.48,2024-11-11,2025-03-04,Pipeline
OPP-00044,Acct-0040,R004,West,Closed Won,40085.96,2025-07-27,2025-11-28,Commit
OPP-00045,Acct-0041,R004,West,Closed Lost,46487.22,2025-02-25,2025-05-19,Omitted
OPP-00046,Acct-0059,R012,East,Prospecting,2600.46,2025-04-16,2025-08-03,Best Case
OPP-00047,Acct-0165,R004,West,Prospecting,13288.65,2024-03-12,2024-06-11,Best Case
OPP-00048,Acct-0089,R009,East,Proposal,71128.11,2024-04-21,2024-10-10,Best Case
OPP-00049,Acct-0111,R012,East,Closed Won,21902.49,2025-07-05,2025-09-13,Commit
OPP-00050,Acct-0077,R002,West,Closed Lost,150835.62,2025-11-10,2025-12-31,Omitted
OPP-00051,Acct-0050,R009,East,Proposal,21233.2,2024-10-29,2025-04-08,Pipeline
OPP-00052,Acct-0078,R007,Central,Closed Won,12824.87,2024-06-27,2024-12-21,Commit
OPP-00053,Acct-0114,R007,Central,Negotiation,20790.87,2025-11-01,2026-02-11,Best Case
OPP-00054,Acct-0022,R008,Central,Closed Won,29250.21,2026-03-26,2026-05-28,Commit
OPP-00055,Acct-0080,R005,Central,Negotiation,36634.48,2026-02-08,2026-04-29,Commit
OPP-00056,Acct-0179,R004,West,Closed Won,57595.9,2025-10-06,2026-03-22,Commit
OPP-00057,Acct-0057,R007,Central,Negotiation,8524.77,2024-01-06,2024-02-22,Best Case
OPP-00058,Acct-0117,R003,West,Closed Won,47330.65,2025-07-24,2025-10-15,Commit
OPP-00059,Acct-0130,R003,West,Closed Won,513937.34,2025-03-29,2025-09-21,Commit
