customer_id,tenure_months,contract,internet_service,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00001,52,Month-to-month,DSL,Yes,Bank transfer,50.72,2530.24,1
C00002,68,One year,DSL,No,Mailed check,114.45,7540.5,0
C00003,48,Two year,No internet,Yes,Bank transfer,28.5,1179.82,0
C00004,68,One year,Fiber optic,Yes,Credit card,58.47,3501.09,1
C00005,69,Month-to-month,DSL,Yes,Bank transfer,47.83,2869.16,0
C00006,21,One year,Fiber optic,Yes,Electronic check,113.24,2060.5,1
C00007,22,One year,No internet,Yes,Mailed check,23.25,458.54,0
C00008,1,Month-to-month,Fiber optic,Yes,Mailed check,66.48,60.93,0
C00009,70,Month-to-month,DSL,Yes,Mailed check,61.84,4159.04,0
C00010,20,One year,Fiber optic,Yes,Mailed check,38.68,705.12,0
C00011,27,Two year,Fiber optic,No,Electronic check,74.92,1979.71,0
C00012,47,Month-to-month,Fiber optic,Yes,Bank transfer,55.89,2318.04,0
C00013,52,Month-to-month,No internet,Yes,Mailed check,35.44,1809.59,0
C00014,48,One year,Fiber optic,Yes,Bank transfer,69.96,2907.63,0
C00015,41,Month-to-month,No internet,No,Credit card,46.97,1853.99,1
C00016,11,Two year,Fiber optic,No,Bank transfer,111.69,1189.56,1
C00017,69,Month-to-month,No internet,Yes,Bank transfer,37.24,2330.19,1
C00018,57,Month-to-month,Fiber optic,No,Bank transfer,47.79,2709.58,1
C00019,25,Two year,DSL,No,Mailed check,101.05,2302.01,0
C00020,45,One year,Fiber optic,No,Mailed check,75.15,3133.76,0
C00021,57,Two year,Fiber optic,No,Mailed check,106.63,5840.17,0
C00022,14,Two year,Fiber optic,No,Bank transfer,32.88,458.3,1
C00023,38,Month-to-month,Fiber optic,Yes,Bank transfer,107.73,3762.65,1
C00024,17,Two year,No internet,No,Credit card,54.72,869.11,0
C00025,23,Month-to-month,Fiber optic,No,Mailed check,71.68,1605.78,0
C00026,62,One year,DSL,Yes,Mailed check,112.44,6968.34,0
C00027,67,Month-to-month,Fiber optic,Yes,Bank transfer,74.47,4715.2,1
C00028,41,Month-to-month,Fiber optic,Yes,Electronic check,82.93,3064.74,1
C00029,30,One year,Fiber optic,No,Mailed check,105.41,3069.97,1
C00030,15,One year,Fiber optic,Yes,Mailed check,89.12,1277.01,1
C00031,69,Month-to-month,DSL,Yes,Electronic check,95.23,5617.85,0
C00032,66,One year,Fiber optic,Yes,Bank transfer,108.38,6909.71,0
C00033,44,Two year,Fiber optic,Yes,Credit card,57.67,2401.56,0
C00034,67,One year,Fiber optic,Yes,Mailed check,63.92,4004.32,0
C00035,11,Two year,Fiber optic,No,Bank transfer,110.13,1075.69,1
C00036,6,One year,Fiber optic,Yes,Bank transfer,115.37,672.46,1
C00037,38,Month-to-month,DSL,Yes,Bank transfer,102.15,3792.37,1
C00038,42,Two year,No internet,Yes,Mailed check,35.07,1405.25,0
C00039,3,Two year,No internet,Yes,Mailed check,49.56,138.07,0
C00040,7,Month-to-month,DSL,No,Electronic check,44.75,292.84,0
C00041,4,Two year,Fiber optic,Yes,Bank transfer,115.8,406.45,0
C00042,56,Month-to-month,No internet,No,Electronic check,21.42,1049.39,0
C00043,30,Month-to-month,Fiber optic,Yes,Mailed check,112.52,3240.73,1
C00044,63,Month-to-month,No internet,Yes,Mailed check,37.45,2173.7,1
C00045,32,Month-to-month,DSL,Yes,Mailed check,45.11,1279.07,0
C00046,30,One year,Fiber optic,No,Bank transfer,77.19,2234.81,1
C00047,43,One year,Fiber optic,No,Electronic check,86.51,3337.81,0
C00048,7,One year,Fiber optic,Yes,Bank transfer,111.02,683.44,0
C00049,47,Month-to-month,Fiber optic,No,Mailed check,42.81,1846.8,1
C00050,4,Month-to-month,Fiber optic,Yes,Bank transfer,37.05,146.9,0
C00051,49,Month-to-month,Fiber optic,Yes,Mailed check,36.67,1619.9,1
C00052,33,Two year,Fiber optic,No,Electronic check,30.07,946.45,1
C00053,48,One year,DSL,No,Bank transfer,63.83,2931.52,0
C00054,15,Month-to-month,Fiber optic,No,Electronic check,113.73,1519.4,1
C00055,40,One year,Fiber optic,Yes,Bank transfer,69.8,2405.71,0
C00056,50,Month-to-month,Fiber optic,No,Credit card,74.48,3608.94,0
C00057,42,One year,Fiber optic,Yes,Bank transfer,92.43,3531.73,0
C00058,27,Month-to-month,No internet,Yes,Electronic check,38.15,882.89,0
C00059,11,One year,No internet,Yes,Electronic check,27.69,264.45,0
C00060,42,Month-to-month,DSL,No,Bank transfer,119.4,4400.35,1
C00061,18,Two year,DSL,Yes,Bank transfer,119.85,2106.14,0
