month,segment,pipeline_created,pipeline_won,quota,avg_sales_cycle_days,win_rate
2024-01,SMB,414252,133522,182104,25,0.3223
2024-02,SMB,462068,141777,184633,21,0.3068
2024-03,SMB,531486,177848,187197,24,0.3346
2024-04,SMB,488177,173278,189797,25,0.3549
2024-05,SMB,535876,192467,192433,25,0.3592
2024-06,SMB,525630,182009,195106,22,0.3463
2024-07,SMB,548709,186095,197816,24,0.3392
2024-08,SMB,489387,176563,200563,24,0.3608
2024-09,SMB,587430,196210,203348,25,0.334
2024-10,SMB,693364,250233,257716,25,0.3609
2024-11,SMB,903328,312926,261295,23,0.3464
2024-12,SMB,776728,283110,264924,26,0.3645
2025-01,SMB,490885,159890,214883,22,0.3257
2025-02,SMB,552987,195003,217867,25,0.3526
2025-03,SMB,612723,210744,220893,24,0.3439
2025-04,SMB,643094,228179,223961,24,0.3548
2025-05,SMB,681687,232557,227071,25,0.3411
2025-06,SMB,712461,224588,230225,23,0.3152
2025-07,SMB,609881,200736,233422,23,0.3291
2025-08,SMB,692541,225270,236664,26,0.3253
2025-09,SMB,651783,217896,239951,24,0.3343
2025-10,SMB,858651,314416,304105,26,0.3662
2025-11,SMB,934989,322969,308328,26,0.3454
2025-12,SMB,991392,328196,312610,22,0.331
2024-01,Mid-Market,686010,196858,271096,53,0.287
2024-02,Mid-Market,818112,224178,274861,53,0.274
2024-03,Mid-Market,985623,271706,278678,54,0.2757
2024-04,Mid-Market,883816,242976,282549,50,0.2749
2024-05,Mid-Market,868798,249187,286473,50,0.2868
2024-06,Mid-Market,990832,284102,290452,54,0.2867
2024-07,Mid-Market,953609,265696,294486,50,0.2786
2024-08,Mid-Market,896976,229964,298576,46,0.2564
2024-09,Mid-Market,960515,255534,302722,54,0.266
2024-10,Mid-Market,1102177,314885,383658,57,0.2857
2024-11,Mid-Market,1327654,400869,388987,48,0.3019
2024-12,Mid-Market,1401192,388645,394389,51,0.2774
2025-01,Mid-Market,900540,230374,319893,54,0.2558
2025-02,Mid-Market,920320,250034,324336,46,0.2717
2025-03,Mid-Market,1100886,300087,328841,53,0.2726
2025-04,Mid-Market,1076683,325616,333408,51,0.3024
2025-05,Mid-Market,1021074,288463,338038,53,0.2825
2025-06,Mid-Market,1257620,366837,342733,53,0.2917
2025-07,Mid-Market,1165222,306870,347493,49,0.2634
2025-08,Mid-Market,978465,268630,352319,46,0.2745
2025-09,Mid-Market,1282478,355104,357212,46,0.2769
2025-10,Mid-Market,1268004,375031,452717,55,0.2958
2025-11,Mid-Market,1800232,600604,459004,54,0.3336
2025-12,Mid-Market,1534868,399307,465379,53,0.2602
2024-01,Enterprise,993078,223664,319815,91,0.2252
2024-02,Enterprise,1104830,267655,324257,97,0.2423
2024-03,Enterprise,1329257,289898,328760,83,0.2181
2024-04,Enterprise,1268715,291020,333326,110,0.2294
2024-05,Enterprise,1350035,325765,337955,92,0.2413
2024-06,Enterprise,1275295,279164,342649,90,0.2189
2024-07,Enterprise,1464165,322928,347408,102,0.2206
2024-08,Enterprise,1176540,283209,352233,99,0.2407
2024-09,Enterprise,1451245,333106,357125,91,0.2295
2024-10,Enterprise,1741739,407146,452606,87,0.2338
2024-11,Enterprise,1839766,443870,458892,108,0.2413
2024-12,Enterprise,2163119,514349,465265,98,0.2378
2025-01,Enterprise,1264192,293954,377382,93,0.2325
2025-02,Enterprise,1322461,310687,382623,108,0.2349
2025-03,Enterprise,1497567,323353,387937,85,0.2159
2025-04,Enterprise,1611733,402647,393325,95,0.2498
2025-05,Enterprise,1432145,353463,398787,87,0.2468
2025-06,Enterprise,1433901,340406,404326,93,0.2374
2025-07,Enterprise,1401230,319649,459134,99,0.2281
2025-08,Enterprise,1517624,350634,465511,101,0.231
2025-09,Enterprise,1382430,317184,471976,90,0.2294
2025-10,Enterprise,1699390,388646,598164,93,0.2287
2025-11,Enterprise,2365059,528204,606472,96,0.2233
2025-12,Enterprise,2273328,534871,614895,104,0.2353
